replay_num,replay_link                                                                              ,player_p1         ,player_p2         ,switch_p1a,switch_p2a,winner,turns
2         ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793794                               ,deathbydunsparce  ,MeEsSm            ,Salamence ,Tyranitar ,2     ,58
9         ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793795?p2                            ,The_App15         ,marsandback       ,Tyranitar ,Skarmory  ,2     ,70
3         ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793757                               ,Salaryman William ,donsmallow        ,Salamence ,Vaporeon  ,2     ,14
10        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793801                               ,diegoyuhhi        ,Yoink 0           ,Solrock   ,Salamence ,1     ,32
7         ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793827                               ,ADV Fella         ,stao              ,Metagross ,Zapdos    ,1     ,21
4         ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793758                               ,donsmallow        ,Salaryman William ,Zapdos    ,Salamence ,2     ,27
6         ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793824                               ,ADV Fella         ,stao              ,Hitmontop ,Skarmory  ,1     ,26
8         ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793792                               ,marsandback       ,The_App15         ,Salamence ,Salamence ,1     ,69
5         ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793759                               ,Salaryman William ,donsmallow        ,Slaking   ,Zapdos    ,1     ,10
1         ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793791?p2                            ,deathbydunsparce  ,MeEsSm            ,Skarmory  ,Tyranitar ,2     ,72
16        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793818                               ,Ktools            ,Cakeconnesseur    ,Medicham  ,Skarmory  ,2     ,61
11        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793806                               ,diegoyuhhi        ,Yoink 0           ,Metagross ,Salamence ,2     ,55
20        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793815                               ,her lips          ,xGangg            ,Tyranitar ,Jirachi   ,1     ,69
15        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793812                               ,Ktools            ,Cakeconnesseur    ,Aerodactyl,Salamence ,2     ,22
18        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793838                               ,Yuiis             ,ThisGuyMuks       ,Jirachi   ,Zapdos    ,2     ,31
13        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793761                               ,omghide           ,Seradess          ,Zapdos    ,Skarmory  ,2     ,31
19        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793811                               ,her lips          ,xGangg            ,Skarmory  ,Skarmory  ,2     ,30
12        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793813                               ,diegoyuhhi        ,Yoink 0           ,Tyranitar ,Zapdos    ,2     ,33
17        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793836                               ,Yuiis             ,ThisGuyMuks       ,Zapdos    ,Registeel ,2     ,77
14        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793762                               ,Seradess          ,omghide           ,Tyranitar ,Vaporeon  ,1     ,14
21        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793822                               ,her lips          ,xGangg            ,Gengar    ,Tyranitar ,2     ,17
23        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793890                               ,LexiTG            ,kug98             ,Skarmory  ,Nidoking  ,1     ,46
28        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793894                               ,SBMalus           ,CHICKENB00B       ,Medicham  ,Magneton  ,1     ,23
25        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793863                               ,AfroFaust         ,less19chara       ,Tyranitar ,Slaking   ,1     ,25
22        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793888                               ,LexiTG            ,kug98             ,Cloyster  ,Salamence ,1     ,25
29        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793780                               ,mint yerb         ,KoboldSorcerer    ,Medicham  ,Celebi    ,1     ,36
24        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793861                               ,less19chara       ,AfroFaust         ,Charizard ,Medicham  ,1     ,33
26        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793868                               ,less19chara       ,AfroFaust         ,Zapdos    ,Salamence ,1     ,46
27        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793893                               ,SBMalus           ,CHICKENB00B       ,Tyranitar ,Magneton  ,1     ,71
30        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793781                               ,mint yerb         ,KoboldSorcerer    ,Furret    ,Skarmory  ,2     ,71
31        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793787                               ,mint yerb         ,KoboldSorcerer    ,Medicham  ,Glalie    ,1     ,14
32        ,https://replay.pokemonshowdown.com/gen3ou-2213760778-871i4top30wu9d5mle9llaad6xqjhyfpw   ,swope             ,Svejk97           ,Zapdos    ,Smeargle  ,1     ,53
33        ,https://replay.pokemonshowdown.com/gen3ou-2213772581-q32iwncstf9dmkes3lic2all9d7xog2pw   ,swope             ,Svejk97           ,Zapdos    ,Gyarados  ,2     ,31
34        ,https://replay.pokemonshowdown.com/gen3ou-2213780205-olsnvnf2aiox1ely5ct1iue94n528u4pw   ,swope             ,Svejk97           ,Skarmory  ,Smeargle  ,1     ,45
35        ,https://replay.pokemonshowdown.com/gen3ou-2213626355-1nnlmcc6qff6qk5y0xoaj6cglcgdlkapw   ,reptikrook        ,GarhamSandich     ,Zapdos    ,Metagross ,2     ,55
36        ,https://replay.pokemonshowdown.com/gen3ou-2213633888-g94y0m0pz7huw3p7oi97yvjrz6gb4tgpw   ,GarhamSandich     ,reptikrook        ,Metagross ,Blaziken  ,1     ,70
37        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793766                               ,Deckline          ,salmonlad         ,Metagross ,Zapdos    ,1     ,20
39        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793776                               ,Chrisjde          ,Banyanya          ,Charizard ,Zapdos    ,2     ,30
40        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793777                               ,Chrisjde          ,Banyanya          ,Vaporeon  ,Salamence ,1     ,25
38        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793769                               ,Deckline          ,salmonlad         ,Smeargle  ,Salamence ,1     ,28
41        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793778                               ,Chrisjde          ,Banyanya          ,Forretress,Forretress,1     ,23
43        ,https://replay.pokemonshowdown.com/gen3ou-2213761993                                     ,AirPan            ,CazabichosPablo   ,Tyranitar ,Tyranitar ,2     ,39
42        ,https://replay.pokemonshowdown.com/gen3ou-2213759809                                     ,CazabichosPablo   ,AirPan            ,Machamp   ,Cloyster  ,1     ,19
44        ,https://replay.pokemonshowdown.com/smogtours-gen3ou-793900                               ,HunarPG           ,theamazingeevee   ,Salamence ,Tyranitar ,1     ,21
