player_a                                                                    ,player_b                                                                    ,winner,game_list          ,sheet_name,num_players,winner_from_importer,winner_from_rounds
Fakes                                                                       ,hypebeasthegel                                                              ,a     ,0321 0322 0323     ,Round 1   ,2          ,Fakes               ,Fakes
Altina                                                                      ,jaden_17522                                                                 ,b     ,0123 0124          ,Round 1   ,2          ,TheComanderXD       ,jaden_17522
Triangles                                                                   ,renlyyynnn                                                                  ,a     ,0324 0325          ,Round 1   ,2          ,triangles           ,Triangles
pkLeech                                                                     ,wonderfulwhiscash                                                           ,a     ,0326 0327          ,Round 1   ,2          ,pkLeech             ,pkLeech
Caloom                                                                      ,jankcity                                                                    ,B     ,act                ,Round 1   ,0          ,act                 ,act
Fear                                                                        ,bugthatlovesfish                                                            ,a     ,0328 0329          ,Round 1   ,2          ,Fear                ,Fear
jumpy23                                                                     ,@pek__                                                                      ,a     ,0330 0331          ,Round 1   ,2          ,I'm the Dome Ace    ,jumpy23
Leo                                                                         ,Blanched                                                                    ,a     ,0332 0333          ,Round 1   ,2          ,algerian mannat     ,Leo
Kollin                                                                      ,WraxiusGaming                                                               ,a     ,0674 0675          ,Round 1   ,2          ,Kollin7             ,Kollin
Cyberodin                                                                   ,sligoblues                                                                  ,B     ,0676 0677 0678     ,Round 1   ,2          ,blavand             ,sligoblues
Blues                                                                       ,walterbite                                                                  ,a     ,0679 0680          ,Round 1   ,2          ,BluesEnergy00       ,Blues
Pak                                                                         ,aldrichunfaithful                                                           ,a     ,0133 0134          ,Round 1   ,2          ,Pak                 ,Pak
River                                                                       ,allance05                                                                   ,a     ,0334 0335          ,Round 1   ,2          ,violet river        ,River
Voyager                                                                     ,irrelevantone                                                               ,a     ,0336 0337 0338     ,Round 1   ,2          ,Voyager             ,Voyager
Carapinga                                                                   ,Genofool                                                                    ,a     ,0131 0132          ,Round 1   ,2          ,Eduardo Carapinga   ,Carapinga
Mielke                                                                      ,justbestlevels                                                              ,a     ,0681 0682          ,Round 1   ,2          ,3 blades            ,Mielke
Tyros                                                                       ,Print Screen                                                                ,a     ,0339 0340          ,Round 1   ,2          ,DarthTyros          ,Tyros
Pokology                                                                    ,Spedonic                                                                    ,A     ,act                ,Round 1   ,0          ,act                 ,act
void                                                                        ,Greyaz                                                                      ,A     ,act                ,Round 1   ,0          ,act                 ,act
Mayo                                                                        ,ManiacalDolphin                                                             ,B     ,act                ,Round 1   ,0          ,act                 ,act
Adam                                                                        ,5darkelves_gmen                                                             ,b     ,0125 0126 0127     ,Round 1   ,2          ,5darkelves          ,5darkelves_gmen
laxuy                                                                       ,Ezcrime                                                                     ,a     ,0341 0342          ,Round 1   ,2          ,lax                 ,laxuy
udm31                                                                       ,jthompson9021                                                               ,b     ,0380 0381          ,Round 1   ,2          ,troglodyte480       ,jthompson9021
Big Will                                                                    ,bydy2                                                                       ,a     ,0343 0344 0345     ,Round 1   ,2          ,big will 2024       ,Big Will
JR                                                                          ,Latlat1                                                                     ,A     ,act                ,Round 1   ,0          ,act                 ,act
keepingiticy                                                                ,garcilp                                                                     ,B     ,act                ,Round 1   ,0          ,act                 ,act
Sheik                                                                       ,socialinclusion                                                             ,a     ,0356 0357 0358     ,Round 1   ,2          ,Sheik               ,Sheik
Typhoon Carter                                                              ,Ehtis                                                                       ,b     ,0359 0360 0361     ,Round 1   ,2          ,EhtishamEX          ,Ehtis
48                                                                          ,Hypermoth                                                                   ,a     ,0362 0363          ,Round 1   ,2          ,Quarante8           ,48
eliandiditagain                                                             ,Felizelise                                                                  ,b     ,0364 0365 0366     ,Round 1   ,2          ,Forblaze On Em      ,Felizelise
Spfunkm                                                                     ,cheerful_dragon_75260                                                       ,a     ,0367 0368 0369     ,Round 1   ,2          ,SPFunkm             ,Spfunkm
Johnald                                                                     ,tahat_t                                                                     ,a     ,0370 0371          ,Round 1   ,2          ,Ooziegib            ,Johnald
W_R                                                                         ,ViciousCricket                                                              ,a     ,act                ,Round 1   ,0          ,act                 ,act
