player_a,player_b,winner,game_list,sheet_name,num_players
Fakes,hypebeasthegel,a,0321 0322 0323,Round 1,2
Altina,jaden_17522,b,0123 0124,Round 1,2
Triangles,renlyyynnn,a,0324 0325,Round 1,2
pkLeech,wonderfulwhiscash,a,0326 0327,Round 1,2
Caloom,jankcity,B,act,Round 1,0
Fear,bugthatlovesfish,a,0328 0329,Round 1,2
jumpy23,@pek__,a,0330 0331,Round 1,2
Leo,Blanched,a,0332 0333,Round 1,2
Kollin,WraxiusGaming,a,0674 0675,Round 1,2
Cyberodin,sligoblues,B,0676 0677 0678,Round 1,2
Blues,walterbite,a,0679 0680,Round 1,2
Pak,aldrichunfaithful,a,0133 0134,Round 1,2
River,allance05,a,0334 0335,Round 1,2
Voyager,irrelevantone,a,0336 0337 0338,Round 1,2
Carapinga,Genofool,a,0131 0132,Round 1,2
Mielke,justbestlevels,a,0681 0682,Round 1,2
Tyros,Print Screen,a,0339 0340,Round 1,2
Pokology,Spedonic,A,act,Round 1,0
void,Greyaz,A,act,Round 1,0
Mayo,ManiacalDolphin,B,act,Round 1,0
Adam,5darkelves_gmen,b,0125 0126 0127,Round 1,2
laxuy,Ezcrime,a,0341 0342,Round 1,2
udm31,jthompson9021,b,0380 0381,Round 1,2
Big Will,bydy2,a,0343 0344 0345,Round 1,2
JR,Latlat1,A,act,Round 1,0
keepingiticy,garcilp,B,act,Round 1,0
Sheik,socialinclusion,a,0356 0357 0358,Round 1,2
Typhoon Carter,Ehtis,b,0359 0360 0361,Round 1,2
48,Hypermoth,a,0362 0363,Round 1,2
eliandiditagain,Felizelise,b,0364 0365 0366,Round 1,2
Spfunkm,cheerful_dragon_75260,a,0367 0368 0369,Round 1,2
Johnald,tahat_t,a,0370 0371,Round 1,2
W_R,ViciousCricket,a,act,Round 1,0
D3stiny,Salamaster,a,0683 0684,Round 1,2
Zacpz,SUB 23,a,act,Round 1,0
Segale,KingWafl,a,0372 0373 0374,Round 1,2
Zerkas,YamHam,a,0375 0376 0377,Round 1,2
Colteor,Ale8150,a,0128 0129 0130,Round 1,2
earlgr3y,ChetManley,a,0378 0379,Round 1,2
goldmason,hangerguardian,A,0211 0212,Round 1,2
Celdanami,milkshook00,A,0243 0244 0245,Round 1,2
ThisGuyMuks,Coco / Yuii,A,0017 0018,Round 1,2
Christos,sapphire918,A,0059 0060,Round 1,2
Dridri457,romeugoat._25355,A,0484 0485,Round 1,2
DeezCastforms,big_jerry,a,0685 0686 0687,Round 1,2
Zelph,itsaregionaldialect,A,0241 0242,Round 1,2
Figull400,GroundBack,a,0481 0482 0483,Round 1,2
Don Tonionie,DonlyPhans,A,0478 0479 0480,Round 1,2
Bhol,krungus_01138,A,0239 0240,Round 1,2
Xtina,lraven17,A,0236 0237 0238,Round 1,2
Texas Cloverleaf,Master_Penguini,A,0502 0503,Round 1,2
OOZ,solars_power,A,0476 0477,Round 1,2
Evakiyama,Fairy,A,0234 0235,Round 1,2
Futtoka,MenaCicada,A,0473 0474 0475,Round 1,2
Kai (aplgd),Stuckkkk,A,0232 0233,Round 1,2
Vayun,sdj,a,act,Round 1,0
MeEsSm,DeathbyDunsparce,A,0001 0002,Round 1,2
kingofironfrisk,v1ctor23,A,0471 0472,Round 1,2
OopsAllDeoxys,scrapmetal56,a,0229 0230 0231,Round 1,2
Exiline,Dig Boshi,A,0227 0228,Round 1,2
Zpanther,b1ur,B,0225 0226,Round 1,2
Nicole,Josito,B,0468 0469 0470,Round 1,2
Rambode,@spreek,b,0466 0467,Round 1,2
xGangg,Filthy Cubone,a,0019 0020 0021,Round 1,2
shawtyyyyyyy,the_app,A,0008 0009,Round 1,2
Mackenzie,lacoot,A,0222 0223 0224,Round 1,2
A Welcome Guest,Eggman,b,0463 0464 0465,Round 1,2
Kingu,elmagneto,B,0057 0058,Round 1,2
Alice,perogee,A,0055 0056,Round 1,2
H>L,Simonf,b,act,Round 1,0
Sanke Carp,toruwu,A,0220 0221,Round 1,2
Roy Yamaha,Slimsinatra93,b,act,Round 1,0
Oathkeeper,dustyfans,A,0061 0062 0063,Round 1,2
xXEricXx,Ragnarocco244,A,0666 0667 0668,Round 1,2
Marshy,Vassimobin,A,0218 0219,Round 1,2
Smallow,sheikhater,B,0003 0004 0005,Round 1,2
Churi,tsuki.no.miko,a,0688 0689,Round 1,2
OOF_MAXIMA,Microsoft_J,A,0458 0459 0460,Round 1,2
Buzzed,ByrneBaby,A,0084 0085,Round 1,2
Incognition,cow3492,a,act,Round 1,0
Tempokin,Nicko8,A,0289 0290,Round 1,2
Egor,dinkdank_,A,0262 0263 0264,Round 1,2
King Raska,Sotina,a,0690 0691 0692,Round 1,2
qsns,kinou_pkm,A,0282 0283,Round 1,2
Cyberas,wolfturds,a,act,Round 1,0
Cake,Ktools#9665,A,0015 0016,Round 1,2
Zcarlett,Upon_Link_Main,B,0531 0532,Round 1,2
TechSavage,giantking20,A,0277 0278 0279,Round 1,2
Alecss,Leeto64,B,0354 0355,Round 1,2
Mantis,Ghostfall22,a,act,Round 1,0
Younglemonhope,scurrying_snail,B,0583 0584,Round 1,2
Cryolite,EatYourToastSon,B,0351 0352 0353,Round 1,2
Shadowtime2000,nichard_,b,act,Round 1,0
ratdogreborn,clarissen,B,0529 0530,Round 1,2
Otto,Fierros47,a,act,Round 1,0
Hinkage,@xlimexheep,A,0274 0275 0276,Round 1,2
Seradess,Somnanana,A,0013 0014,Round 1,2
Dancing Along/Abreaction,grillking,A,0271 0272 0273,Round 1,2
Just_Leo,sensei_moon,A,0500 0501,Round 1,2
Zinc,fuckboylenny,A,0078 0079 0080,Round 1,2
DastardlyDwarf,zoyotte,a,act,Round 1,0
Frutiepie,zy___,b,act,Round 1,0
cocoo7538,lindonh,A,0349 0350,Round 1,2
YlisseanStarlight,Klird,b,act,Round 1,0
The_Badger1230,draccus_comun,A,0081 0082 0083,Round 1,2
sharkhammer,incognidoqueen,B,0052 0053 0054,Round 1,2
style_purposes,SUB 28,A,0346 0347 0348,Round 1,2
GreenCity,emerald_harrold,A,0086 0087,Round 1,2
Gthorpe1993,blunderpolicy,B,0268 0269 0270,Round 1,2
Stao,adv_fella,B,0006 0007,Round 1,2
TheTwo,loffelbiskuit,A,0069 0070 0071,Round 1,2
SqueamishCube,funhouse3,B,0515 0516 0517,Round 1,2
annuit99,tommy4830,A,0050 0051,Round 1,2
catholicguilttrip,Carfrogs,A,0076 0077,Round 1,2
bashedayo,witgiz,B,0265 0266 0267,Round 1,2
viel06,JCK_ionic,B,0097 0098,Round 1,2
